id,serialNumber,otherParty,comment,entryDate,type,status,confirmDate,enteredBy,theirRef,category,items,linkedRequisition
bb86bda0f1d411e79031b5af59368f9f,2,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-01-05 00:00:00 +0000",supplier_invoice,confirmed,"2018-01-05 00:00:00 +0000",F03209EC0292E942886CE023236FD38F ,,<null>,ignore ID ,<null>
bb80ca30f1d411e79031b5af59368f9f,1,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-01-05 00:00:00 +0000",supplier_credit,confirmed,"2018-01-05 00:00:00 +0000",F03209EC0292E942886CE023236FD38F ,,<null>,ignore ID ,<null>
4a623e50f1d511e79031b5af59368f9f,3,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-01-05 00:00:00 +0000",supplier_invoice,confirmed,"2018-01-05 00:00:00 +0000",F03209EC0292E942886CE023236FD38F ,,<null>,ignore ID ,<null>
b2c43030f74711e7a8580fb1f78de0a2,4,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-01-12 00:00:00 +0000",supplier_credit,confirmed,"2018-01-12 00:00:00 +0000",F03209EC0292E942886CE023236FD38F ,,<null>,ignore ID ,<null>
a800cc20f74811e796c03f375dc35415,placeholderSerialNumber,<null>,<null>,"2019-01-04 02:28:18 +0000",placeholderType,new,<null>,<null>,<null>,<null>,<TransactionItem>{},<null>
82b71d50348c11e1bd5fc5c422a3fadd,8,0F04EDF1C8383845B775FD5EE51FB470 ,,"2012-01-01 00:00:00 +0000",supplier_credit,confirmed,"2012-01-01 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ,<null>
1cbb0800152611e8884ef1796b006edd,7,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-02-19 00:00:00 +0000",supplier_invoice,confirmed,"2018-02-19 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ,<null>
511eb110527411e8b9b66789e723d72c,9,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-05-08 00:00:00 +0000",supplier_credit,confirmed,"2018-05-08 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ,<null>
f15e6070658511e8b622dd5ee426118d,10,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-06-01 00:00:00 +0000",supplier_credit,confirmed,"2018-06-01 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
b2f133a0b0d311e8a047fdc82c8850e9,11,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-09-05 00:00:00 +0000",supplier_invoice,confirmed,"2018-09-05 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ,<null>
6960b4a0c60d11e8bf5f21ced190b1f8,13,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-10-02 00:00:00 +0000",supplier_invoice,confirmed,"2018-10-02 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ,<null>
6958ec70c60d11e8bf5f21ced190b1f8,12,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-10-02 00:00:00 +0000",supplier_credit,confirmed,"2018-10-02 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ,<null>
ac79ff80dd8711e8a22ad759b095277d,14,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-11-01 00:00:00 +0000",supplier_invoice,confirmed,"2018-11-01 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
ac9e7770dd8711e8a22ad759b095277d,15,0F04EDF1C8383845B775FD5EE51FB470 ,,"2018-11-01 00:00:00 +0000",supplier_credit,confirmed,"2018-11-01 00:00:00 +0000",D6B58964D2C2C742A7A2F63B64CE9A17 ,,<null>,ignore ID ,<null>
1639e4f0e14711e7a5872fa61e46d180,1,20C4540B10773E4E85388592C81F1BC6 ,,"2017-12-15 00:00:00 +0000",supplier_invoice,finalised,"2017-12-20 00:00:00 +0000",F03209EC0292E942886CE023236FD38F ,"Starting stock as November 17 stock balance",<null>,ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ignore ID ,<null>
2679AB185D9FB64793EA16BA8DF181E1,2,DC2A3E4642351046B8E33601575FC287 ,"Stock transfer (Nov-Dec LP)","2018-01-04 00:00:00 +0000",supplier_invoice,finalised,"2018-01-05 00:00:00 +0000",<null>,"From invoice number: 76",<null>,ignore ID ,<null>
8EE5C5050F26DE4ABDD08B470BBB3C93,3,DC2A3E4642351046B8E33601575FC287 ,"Stock transfer (Nov-Dec LP)","2018-01-04 00:00:00 +0000",supplier_invoice,finalised,"2018-01-05 00:00:00 +0000",<null>,"From invoice number: 88",<null>,ignore ID ignore ID ignore ID ignore ID ,<null>
